subj,rMTG,postcen,pMTG,PCC,Occ,IFGpos,IFGneg,ACC
209,-0.19495,-0.103839,-0.533803,-0.474556,1.541455,-0.654433,-0.411769,-1.522538
247,0.650341,0.45203,1.377325,0.23297,-1.296721,0.531489,0.331221,1.085924
650,0.254859,1.049613,0.448007,1.020814,0.37378,0.474655,-0.270335,-1.52821
6913,0.29339,0.491269,-0.315579,0.093365,0.352463,-0.048779,-1.015664,-1.661415
7457,0.300748,0.101161,0.827891,-0.441944,2.00192,-0.02882,-0.532017,0.164741
7522,0.41407,0.573677,1.186852,1.585111,0.380605,1.319346,1.078264,1.307003
7772,1.016588,0.994212,1.753415,1.131974,-2.426765,0.483374,0.383199,-0.410395
8043,-0.005853,0.749575,-0.313324,1.455487,-0.582575,-0.35274,-0.815393,1.537733
8082,0.627986,0.2108,-0.206597,-0.027394,-0.110595,0.53836,0.404298,1.023219
8247,0.066139,-0.851911,-0.207929,-0.160319,0.025564,-0.437902,0.698268,-1.545516
8466,0.512424,0.098736,0.893054,-0.104898,-0.015369,1.296116,0.019999,0.46204
8535,0.087454,-0.672968,-0.024706,0.450155,-0.335469,-0.474859,-0.187751,-0.376255
8605,1.584089,0.363593,1.023443,-0.456993,1.958367,0.496817,0.077728,0.491426
8858,-0.859745,-0.611784,-0.648513,-0.115883,-0.784445,1.713996,-0.415504,-0.887868
8898,1.562595,0.515312,2.008156,0.417321,-0.388259,1.70094,0.121513,1.372812
9038,0.100892,0.171631,0.70505,-0.541049,1.541913,1.000194,-0.268164,1.036545
9066,0.607759,0.627116,1.277576,0.763025,-0.322538,0.58831,0.428388,1.313253
9122,0.055004,0.327149,0.80443,0.543177,0.175295,0.873322,0.650538,-1.743698
9267,0.703877,0.860004,0.871512,-0.434372,-0.308013,0.120773,0.499892,-2.097959
9302,0.701596,0.585706,0.924396,0.33719,-0.016605,0.01686,-0.086019,-2.013449
9318,1.681024,0.091796,1.01742,0.212815,0.196234,0.457676,-0.394045,-1.325469
9330,0.798223,0.823621,0.48452,0.488457,0.251058,1.001877,-0.032169,0.12356
9363,0.307343,0.67694,0.363499,0.141144,-0.146173,0.844499,0.167935,0.374186
9366,-0.487236,-0.526859,-0.297463,0.429944,1.033076,0.499988,0.88391,0.172155
9404,0.239451,0.096549,0.557111,0.137037,-0.080666,0.334976,0.563999,1.244193
9437,-0.079578,0.578931,0.421549,0.159956,0.035312,0.445637,0.268274,-0.328987
9489,1.066316,0.867891,0.835641,0.467922,-0.243929,0.74068,0.114335,1.521422
9492,-0.070409,-0.308639,0.130664,0.087667,3.022521,-0.397136,-0.902563,-1.824792
9518,-0.114727,-0.440563,-0.038968,-0.071749,0.19986,-1.090174,0.009726,-1.654813
9579,1.665628,1.688921,2.046368,0.488123,-0.042356,1.841553,1.604541,2.690159
9700,-0.086883,-0.550921,-0.073473,-0.229843,0.33643,1.354049,-0.023827,0.964283
