subj,rMTG,postcen,pMTG,PCC,Occ,IFGpos,IFGneg,ACC
209,-0.466416,-1.209154,0.470408,-0.691595,2.255438,-1.906365,0.244123,-2.173349
247,0.017343,1.126408,-0.336295,0.289358,-0.16999,0.300203,1.987576,-2.42737
650,0.12053,0.491717,1.228462,0.446936,0.170583,1.81404,2.662987,0.361464
6913,0.934761,-0.406535,1.018393,0.001977,2.022,0.071704,3.623283,-1.523462
7457,2.416585,0.875889,5.375773,2.186297,-2.018129,5.402546,5.031324,4.381805
7522,2.870609,-1.055891,2.304758,-1.15143,-1.296156,0.090901,0.258468,-2.557765
7772,1.361875,2.018451,3.549619,-0.673478,-3.120849,2.477469,3.002589,2.264615
8043,3.277731,-0.821655,3.823516,-0.278374,0.754791,1.356055,3.193898,-1.879363
8082,2.629384,-0.254581,1.741207,-1.116791,-0.45062,0.336235,2.561934,-5.418413
8247,-2.197605,-5.341205,-1.904478,0.299645,-0.934266,-2.660151,-1.165058,-1.915706
8466,2.055661,-0.537821,2.579927,-1.473019,3.312272,2.6955,2.468807,-0.312288
8535,2.316378,-0.659839,3.114778,-0.580465,1.310245,2.557139,3.382206,0.032166
8605,2.698044,1.236669,2.405247,0.58097,2.054442,1.054096,2.687166,1.207894
8858,2.202274,0.529555,2.013229,0.17506,-0.021962,2.721603,2.851297,0.054955
8898,1.174849,-1.060601,6.710595,-0.468485,1.30292,3.582536,2.288061,0.616149
9038,0.956964,-0.02022,1.334205,-0.520972,-0.555428,-0.652778,0.680615,-1.21827
9066,1.729593,-0.325004,4.47136,-1.607543,2.557851,1.782223,2.475954,0.201565
9122,0.513326,-2.179791,2.042322,-1.548215,2.254349,0.324453,0.172882,-1.069912
9267,1.961991,-0.726929,2.087628,-0.153492,3.296258,-0.957645,1.265198,-1.317445
9302,0.496411,-1.01624,2.119807,-0.161592,0.181644,2.415298,2.724414,0.647438
9318,-1.889856,-0.613642,1.031269,-1.358056,-1.343078,1.115261,2.47514,-1.801459
9330,2.155986,-0.922419,4.319292,-1.325412,6.117288,1.198009,1.506895,-0.262519
9363,1.680046,-0.471911,1.112746,-0.241801,-2.254666,0.938786,1.29075,0.991763
9366,1.169891,0.690834,2.624645,0.264983,0.49121,2.81155,3.726492,1.461488
9404,0.565335,-0.822453,1.463203,0.679937,0.339944,1.691799,2.603112,1.746856
9437,0.535143,0.263986,0.623238,-0.785241,-0.145288,1.324629,2.657244,0.381423
9489,3.042907,-0.255106,2.807616,-1.702667,0.198431,0.767301,2.644419,-2.603757
9492,0.039844,-1.320043,2.154593,-1.797074,1.795564,3.204742,3.993494,-0.732799
9518,-1.881553,-1.33949,1.279625,-0.821699,0.741501,2.230257,0.73331,-1.322342
9579,-2.51525,-4.628992,-2.235274,-0.890373,0.798173,-0.407618,-2.03164,-5.328444
9700,1.817643,0.250308,1.48509,0.228275,1.366332,-0.469241,1.924632,-0.502411
