subj,rMTG,postcen,pMTG,PCC,Occ,IFGpos,IFGneg,ACC
209,1.947623,0.843369,2.312698,0.468499,1.267855,1.231777,1.873559,0.77623
247,0.83063,0.46128,1.299496,0.83379,0.079523,-0.938873,3.206447,0.33248
650,0.734382,0.619997,0.826191,0.193086,0.462417,0.370926,3.978131,-0.324581
6913,0.599645,0.251112,0.220884,-0.551359,-0.207398,-0.076275,2.206101,-0.853301
7457,1.408272,0.714823,2.344588,-0.69527,0.704141,0.94888,3.406551,-0.020379
7522,1.305706,-0.517872,2.503195,0.28262,0.14231,-0.874158,1.188982,-0.208232
7772,1.388249,1.601048,1.338883,0.520328,-2.346936,1.074521,3.14001,0.680734
8043,0.514622,0.003761,0.736467,0.584793,-0.22964,-0.666192,2.646184,-0.697105
8082,0.541411,-0.063758,-0.390513,-0.532581,0.194786,-0.541707,1.74081,1.223614
8247,0.068521,-1.052594,0.059509,0.298103,0.12964,0.2455,0.948093,-0.833252
8466,0.293265,-0.154388,0.880065,-0.196124,-0.305853,-0.26956,1.091108,-0.827153
8535,1.622288,0.036222,1.374506,0.087935,-0.69242,-0.119265,1.888487,-0.049866
8605,1.064514,-0.519022,0.288866,0.383398,-0.146305,-0.373564,2.070498,-1.1638
8858,-0.098575,-0.328341,0.128022,-0.284364,-0.004152,1.374327,4.723272,0.823644
8898,2.685064,0.971033,4.38858,-0.033776,-0.812615,0.417488,2.186941,2.800541
9038,0.713263,0.119851,1.103561,0.91819,-1.605148,-0.252045,1.942377,0.791598
9066,1.274785,0.432961,2.517975,-0.314604,-0.716448,0.646675,2.039724,0.638523
9122,1.88463,0.657572,2.256346,0.834591,0.134802,-0.452961,1.98316,-1.642057
9267,0.68689,-0.753909,-0.267882,-0.882413,-3.450313,-1.142081,1.360451,-0.462553
9302,0.587762,0.473083,1.593128,0.298405,-0.066871,-0.132892,2.05598,-0.271123
9318,-0.171108,-0.72175,0.161821,-0.449811,-0.667111,-1.009682,1.779974,-1.061229
9330,1.737466,0.62573,2.379569,0.354532,0.622368,0.535773,1.189738,-0.102481
9363,1.576637,0.694577,1.173252,0.362042,0.011229,0.967031,1.561404,0.996536
9366,-0.203535,-0.052876,0.829032,-0.06546,0.557739,-0.522287,1.988458,0.963333
9404,0.506477,-0.753833,0.044475,0.825031,-0.511647,0.092804,1.3861,0.852404
9437,-0.414153,-0.84948,-0.132432,-0.338244,0.044976,-0.327687,0.907688,0.223011
9489,2.537768,-0.159052,2.205659,-0.062064,0.352336,0.681148,3.13632,0.236672
9492,1.468604,0.243432,2.125933,0.420634,-0.457517,-0.300002,3.211821,0.069886
9518,0.06863,-0.177089,1.342337,-0.451937,0.461007,-1.069094,1.892403,-0.284745
9579,0.638597,0.210154,0.363298,0.647846,0.16555,0.327522,1.520216,-0.0724
9700,1.284003,-0.03027,1.532208,0.030703,0.178184,-0.116691,3.68721,-0.042426
