subj,rMTG,postcen,pMTG,PCC,Occ,IFGpos,IFGneg,ACC
209,1.794685,0.252417,1.301706,0.477825,1.047042,-0.447611,1.958521,0.201999
247,0.17738,0.035812,0.213371,0.412643,0.136621,-0.424987,2.681863,0.726769
650,0.580051,-0.096893,0.598818,0.435301,0.111423,0.42235,3.917142,0.198218
6913,0.727365,0.382374,1.053039,0.05115,-0.098174,0.445268,2.781618,-0.278532
7457,0.945423,0.640175,0.814679,-1.269477,1.226389,-1.096336,2.151137,0.221424
7522,0.962812,0.007468,0.996122,0.417783,0.136723,0.518247,1.641665,-0.448186
7772,0.729326,0.446141,0.75159,0.082673,-1.436631,0.387802,2.625519,0.646362
8043,-0.135579,0.56277,0.629321,0.612853,-0.909932,-0.08435,2.443718,0.433605
8082,0.774614,0.008597,-0.313351,-1.272026,-0.198904,0.667253,1.818919,0.782145
8247,-0.380287,-2.316202,-0.16127,0.1258,-0.18679,-0.543521,0.604646,-1.170779
8466,0.135227,-0.869316,0.368636,-0.212027,1.338528,-0.426145,1.603291,-1.703797
8535,1.49176,-0.253044,1.247598,0.444124,-0.86235,-0.336351,2.250659,1.813638
8605,0.15248,-1.067957,-0.001545,0.316382,-1.840079,-0.610012,2.236747,0.585779
8858,-0.410203,0.033691,0.166996,0.288985,-0.237843,1.197217,3.405501,0.749827
8898,2.625404,0.930193,3.348271,0.094826,-0.193877,0.495342,2.198604,0.602037
9038,-0.634268,-0.393988,-1.11423,0.576332,-1.658461,-0.839928,1.430412,-0.70535
9066,0.99683,0.250399,1.520676,0.587767,-0.637336,0.328448,1.734676,0.643416
9122,1.160644,-0.244814,1.516424,0.683207,0.07306,-0.701027,2.080453,-1.306314
9267,1.473847,-0.06902,0.270151,0.155945,-0.879964,-0.163353,1.783327,0.610559
9302,0.389547,0.361833,0.871036,-0.222841,-0.064798,0.154118,1.405082,-0.499361
9318,0.457845,-0.467005,-0.86774,-0.072451,0.214129,-1.300279,1.637948,0.044847
9330,0.768216,-0.491482,0.56761,-0.356461,0.600396,-0.554476,0.488748,-0.259859
9363,1.149391,0.287655,1.314268,0.267381,0.215307,0.629747,1.839068,0.215312
9366,-1.570432,-2.116873,-1.038527,-0.666787,0.309178,-1.52954,0.606663,-1.32445
9404,-0.541709,-0.992988,-0.349883,1.174478,-0.188096,-0.586957,1.071774,0.443931
9437,0.180139,-0.090992,-0.029058,0.021827,0.057316,-0.743742,1.353073,0.370749
9489,2.229349,0.018639,1.720599,0.889375,-0.247296,0.592086,3.415247,-0.153189
9492,1.082113,-0.433323,1.01213,-0.296141,-2.028648,-1.170926,2.829186,-0.787924
9518,-0.456775,-0.644035,-0.52943,-0.563015,0.050487,-1.359666,0.9905,-0.51708
9579,1.670678,1.623124,1.624875,0.524687,0.216703,1.289217,2.745672,1.439338
9700,0.661934,-0.181799,0.956658,-0.210041,-0.561723,0.985829,3.683681,1.774609
