"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","rc.comp","Pred","stdPred","resid","CI_group"
"4","1002",18.92,1.976085409,137.33,1.013277401,77.33,0.853660502,75,0.965801985,30,0.682542295,223,0.547028348,28,0.591254207,90,0.817785013,44,0.63160695,0.878820546,1.017520447,1.81278645091043,0.252805643420488,0.727280699836074,1.55998080748994,"UGC"
"7","1006",13.5,0.366085409,69.33,0.797216126,24,1.866810698,41,0.965801985,16,1.567141763,155,-0.132142974,17,-1.354899639,28,0.57602551,26,0.385124145,1.299242643,1.504295684,-2.51769728572597,0.127992512050706,0.368213630354703,-2.64568979777668,"UPC"
"8","1007",22.92,1.676085409,109.33,-0.138869348,61.33,-0.295729157,70,0.750905434,31,-0.035776103,191,0.260363295,22,1.232951274,70,0.817785013,39,0.14476127,0.070132707,0.081201405,-0.0900811404627284,0.0947854756556789,0.272682390062383,-0.184866616118408,"EAC"
"9","101",24.35,3.766085409,108,1.085657929,29.33,0.992026858,48,1.421900249,0,1.567141763,184,1.631487019,19,0.294292934,63.62264151,1.758364907,27,2.528413821,1.2666817,1.466595808,-1.67031660546567,0.476410331765179,1.37055500346966,-2.14672693723085,"UPC"
"10","1010",23.5,3.276085409,117.33,1.358435288,82.67,0.410299723,72,1.421900249,31,0.682542295,214,1.271509916,24,1.232951274,88,1.202557614,44,0.884210536,0.968294389,1.121115504,1.66293182514689,0.414066718530002,1.19120257268324,1.24886510661689,"UGC"
"11","1011",25.08,2.006085409,116,0.077191927,78.67,0.011751027,75,0.346288694,30,-0.339824306,219,-0.006129261,21,0.591254207,88,1.202557614,41,0.385124145,0.023851836,0.027616253,1.24387796683551,-0.00293499274928685,-0.00844349656057616,1.2468129595848,"UGC"
"12","1012",25,0.496085409,136,0.221412828,76,-0.44592234,75,-0.968234398,30,-0.339824306,224,-1.597090709,25,-1.354899639,90,-1.38696219,44,-0.96528561,-0.383142054,-0.44361147,1.81278645091043,-0.447119834201252,-1.28629100809908,2.25990628511168,"EPC"
"14","1014",21.17,2.626085409,122.67,1.255806183,78.67,1.184803967,71,0.5444753,31,0.682542295,216,1.185291298,25,0.013034742,91,0.57602551,43,0.884210536,0.916906936,1.061617824,1.74730884163714,0.337064656403643,0.969680169645217,1.4102441852335,"UGC"
"16","1018",23.83,-0.663914591,138.67,2.021743403,78.67,1.58900867,75,0.965801985,28,0.304076256,212,0.124662443,22,-0.503071129,90,0.57602551,43,0.884210536,1.220157579,1.412729015,1.66987249416538,0.225520143808082,0.648784757320736,1.4443523503573,"UGC"
"19","1020",18.08,-1.203914591,121.33,1.013277401,48,1.694456319,61,1.663562087,22,1.102549013,191,0.935398336,20,1.232951274,74,1.202557614,34,0.884210536,1.368461205,1.58443867,-0.494222910330776,0.504326093348313,1.45086410711917,-0.998549003679089,"UPC"
"21","1024",24.25,2.086085409,124,1.255806183,72,0.93345571,73,1.421900249,29,1.102549013,201,0.854960526,21,0.591254207,86,1.071302565,44,0.884210536,1.178427789,1.364413219,1.51964562827225,0.361595839610687,1.04025239204197,1.15804978866156,"UGC"
"23","1028",22.33,-0.573914591,138.67,1.434056735,82.67,0.47377203,75,0.1561256,31,-0.035776103,219,-0.069725257,23,-1.163993086,89,0.817785013,43,0.385124145,0.507044566,0.587068902,1.59411495264342,0.0265631692201025,0.0764179155135687,1.56755178342332,"UGC"
"24","1029",21.92,-0.603914591,125.33,-0.138869348,78.67,-0.593468235,70,-0.681836275,30,-1.063496366,212,-1.690163863,26,-0.252693548,90,-0.555921765,42,-1.74326023,-0.619417556,-0.717177166,1.5301880144765,-0.428674281195423,-1.23322615354348,1.95886229567192,"EPC"
"26","1031",19.58,2.316085409,134.67,1.085657929,81.33,0.739269791,76,1.189390714,29,1.102549013,223,1.017253918,25,-0.503071129,89,1.202557614,45,0.884210536,1.029216862,1.191653069,1.88317275306339,0.304223105715848,0.875200372261131,1.57894964734754,"UGC"
"28","1036",21.75,0.616085409,138.67,1.085657929,81.33,-0.065910865,76,1.189390714,30,0.682542295,221,1.017253918,27,0.294292934,89,1.202557614,47,0.385124145,0.722920018,0.83701491,2.18515169628174,0.322823933444804,0.928711926929016,1.86232776283694,"UGC"
"29","1037",20.25,2.576085409,136,1.940720425,72,1.38026943,67,0.5444753,25,0.682542295,208,0.401106703,21,0.294292934,79.41509434,0.459468012,38,1.142935739,1.137001863,1.316449244,0.283416973869999,0.244669314334392,0.703873804990812,0.0387476595356064,"EAC"
"31","1040",23.08,-2.333914591,136,2.705037185,64,2.683823582,64,1.663562087,22,1.102549013,174,1.359219943,16,0.294292934,53,1.071302565,31,1.40778337,2.038742967,2.360507687,-1.63314606827746,0.674316732433451,1.93989951505818,-2.30746280071091,"UPC"
"33","1046",24.58,2.136085409,118.67,-0.499151524,74.67,-1.417772325,71,-0.368379615,31,-1.554992181,214,-0.132142974,23,0.591254207,83,0.234823476,44,-0.539616645,-0.960073911,-1.111597629,1.31671098141123,-0.203295635469129,-0.58484846317962,1.52000661688036,"UGC"
"35","105",18.09,2.936085409,82.67,-3.019506298,57.33,-0.879800747,68,1.663562087,29,1.102549013,196,1.185291298,21,0.904086171,76.32075472,1.071302565,37,1.678754225,-0.283298986,-0.328010664,-0.0183124673112992,0.165207936961681,0.475276352166385,-0.183520404272981,"EAC"
"36","1050",19.67,-0.403914591,138.67,-0.283090249,80,0.011751027,75,-0.528591259,31,0.682542295,216,-1.071802117,27,-0.252693548,88,-0.639959234,43,-1.557934351,-0.029347047,-0.033978746,1.52001786840185,-0.211878378264238,-0.609539617625716,1.73189624666609,"UGC"
"40","1059",15,1.176085409,97.33,0.581154851,38.67,0.090023366,60,0.5444753,25,1.567141763,167,0.124662443,15,0.013034742,61,0.57602551,30,0.385124145,0.69569882,0.805497524,-1.48419146202866,0.125704947008285,0.361632677957983,-1.60989640903694,"UPC"
"43","1064",21.5,0.206085409,121.33,0.437474103,62.67,0.656333036,61,1.421900249,25,1.102549013,189,0.19189094,21,1.939406956,86,0.943056631,35,0.63160695,0.9045641,1.047326979,0.349644676366822,0.293711516415043,0.844960240278148,0.0559331599517789,"EAC"
"44","1066",13.5,2.006085409,92,0.581154851,56,0.248971844,59,0.346288694,22,1.102549013,178,0.775922446,22,1.578007153,62.32075472,0.817785013,34,0.63160695,0.569741101,0.659660521,-1.01291696793401,0.29190429614013,0.839761161616321,-1.30482126407414,"UPC"
"45","1068",17.75,1.086085409,105.33,0.293253202,50.67,0.090023366,59,-0.368379615,24,-1.41322975,152,-0.482794231,20,0.294292934,52,0.459468012,34,-0.089482551,-0.349583199,-0.404756187,-1.33745313457061,-0.157048749118712,-0.451803696397153,-1.1804043854519,"UPC"
"46","1070",23.75,4.766085409,70.67,-0.787053173,30.67,0.410299723,59,0.965801985,23,1.567141763,181,1.017253918,25,0.591254207,63.64150943,0.57602551,33,1.40778337,0.539047575,0.624122787,-1.0734509220383,0.229455130674488,0.66010507423821,-1.30290605271279,"UPC"
"47","1073",23.17,0.846085409,133.33,0.221412828,80,-0.44592234,76,0.346288694,32,-0.610761311,216,0.058661198,26,0.294292934,90,-0.081489395,44,0.14476127,-0.122245532,-0.14153894,1.81278645091043,-0.0108560035728228,-0.0312309558008292,1.82364245448325,"UGC"
"48","1074",24.08,1.816085409,155.22,-1.074954822,94.91,-2.463626105,76,-1.963638924,30,-2.187652688,218,-1.02798239,26,-2.207588062,86,-1.113937277,47,-0.539616645,-1.922468135,-2.225881774,1.96776841516552,-0.681982434173989,-1.96195249161029,2.64975084933951,"EPC"
"50","1082",14.67,2.266085409,102.67,2.705037185,72,2.813243579,69,0.965801985,30,1.102549013,195,0.854960526,19,0.013034742,80,0.943056631,38,1.40778337,1.896657941,2.195998084,0.318679281702805,0.455370738926987,1.31002751841595,-0.136691457224182,"EAC"
"51","1083",17.25,0.856085409,122.67,-0.210709722,69.33,0.573339531,73,0.750905434,26,0.682542295,212,1.10054546,24,1.232951274,78,0.943056631,40,0.385124145,0.449019385,0.519885893,0.456967965248132,0.334491522513226,0.962277682140293,0.122476442734906,"EAC"
"52","1085",18.75,1.026085409,110.67,0.941437028,57.33,0.767457027,66,0.965801985,28,1.102549013,199,0.935398336,22,0.294292934,80,0.817785013,40,0.884210536,0.944311263,1.09334724,0.575448749820654,0.339172882531817,0.9757451931675,0.236275867288837,"EAC"
"53","1087",16.5,1.296085409,88,1.434056735,36,1.332461579,63,1.189390714,24,1.102549013,159,0.547028348,16,0.904086171,52,1.202557614,34,0.884210536,1.26461451,1.464202365,-1.33745313457061,0.349998611847183,1.00688905485582,-1.68745174641779,"UPC"
"54","1091",22.92,1.056085409,118.67,0.149032301,49.33,-1.154657797,68,-0.828317379,25,-1.250106035,196,-1.02798239,18,-0.503071129,86,-1.187508851,40,-0.755508785,-0.771012228,-0.892697275,0.967364976839207,-0.37499516463233,-1.0788000698043,1.34236014147154,"EPC"
"56","1093",19.17,1.326085409,128,1.255806183,80,0.656333036,76,0.965801985,31,1.102549013,223,0.473411677,24,0.591254207,90,0.234823476,44,0.63160695,0.995122554,1.152177826,1.81278645091043,0.271563386509652,0.781243674462166,1.54122306440078,"UGC"
"58","1095",18.5,1.916085409,93.33,0.941437028,61.33,0.347785989,64,0.346288694,26,1.102549013,190,0.260363295,20,0.904086171,64,0.57602551,33,0.63160695,0.684515181,0.792548827,-1.05949304695765,0.182072897186676,0.523794098484021,-1.24156594414433,"UPC"
"61","1098",18.92,-0.533914591,128,0.221412828,74.67,0.491533654,73,1.189390714,32,1.567141763,209,1.017253918,24,0.591254207,80,0.817785013,40,0.884210536,0.86736974,1.004262416,0.575448749820654,0.385062780441015,1.10776296229339,0.190385969379639,"EAC"
"62","1099",17.5,-2.663914591,109.33,1.737082673,60,1.229524939,60,0.346288694,27,0.304076256,145,0.698266199,18,0.013034742,67,0.57602551,32,0.385124145,0.904243141,1.046955364,-1.04396865340011,0.340772538211716,0.980347142264178,-1.38474119161183,"UPC"
"66","1103",14.17,1.426085409,108,0.941437028,64,2.212154605,64,0.965801985,31,1.102549013,197,0.330096252,24,1.578007153,75,0.943056631,39,0.884210536,1.305485658,1.511524003,0.160141368228983,0.349367377061723,1.00507309509196,-0.189226008832739,"EAC"
"67","1104",17.58,0.776085409,100.66,0.725375752,60.54,1.28676567,60,1.189390714,24,1.567141763,173,0.935398336,17,1.578007153,63.33962264,0.943056631,36,0.884210536,1.192168475,1.38032253,-0.743491348725585,0.454702131934831,1.30810404489459,-1.19819348066042,"UPC"
"69","1108",16.25,2.496085409,100,0.509314477,77.33,0.248971844,68,0.965801985,30,1.567141763,214,0.935398336,25,-0.738283726,89,0.817785013,44,0.63160695,0.822807517,0.952667159,1.73702890938847,0.236716085738978,0.680993660463308,1.50031282364949,"UGC"
"70","111",23.55,-4.733914591,137.33,-0.138869348,70.67,-0.665955136,73,-1.350555732,28,-1.41322975,211,-0.694976298,17,-0.252693548,83.26415094,0.234823476,40,-0.539616645,-0.892152492,-1.032956507,0.781731374585811,-0.214530240067039,-0.61716859252404,0.99626161465285,"UGC"
