"","SubjectID","age.tested","age.tested.c","towre.w.ipm","towre.w.ipm.cs","towre.nw.ipm","towre.nw.ipm.t","wj3.wid.raw","wj3.wid.t","wj3.watt.raw","wj3.watt.t","ppvt.raw","ppvt.t","wasi.matr.raw","wasi.matr.t","ktea2.raw","ktea2.t","wj3.rcomp.raw","wj3.rcomp.t","decode","decode.cs","rc.comp","Pred","stdPred","resid","CI_group"
"2","100",18.07,-2.983914591,133.33,-1.291016097,83.59,-1.154657797,66,-1.229160995,29,-1.41322975,193,-0.694976298,26,0.294292934,75.77358491,-0.728042869,38,-0.539616645,-1.27201616,-1.47277218,0.0751605509860813,-0.799163926345211,-0.893936820861719,0.0711210573451932,"EAC"
"4","1002",18.92,1.976085409,137.33,1.013277401,77.33,0.853660502,75,0.965801985,30,0.682542295,223,0.547028348,28,0.591254207,90,0.817785013,44,0.63160695,0.878820546,1.017520447,1.81278645091043,0.754114287780564,0.84354474311299,0.0636707252194323,"EAC"
"5","1004",17.25,3.616085409,85.33,0.221412828,42.67,0.329039454,65,1.663562087,27,0.304076256,180,0.330096252,24,0.013034742,78,1.614725431,35,0.385124145,0.629522656,0.728877104,-0.160752335224254,0.568503403148225,0.635922253343355,1.04622202785176,"UGC"
"6","1005",17.83,1.206085409,133.33,2.021743403,66.67,0.47377203,60,0.965801985,28,-0.035776103,202,1.10054546,25,1.232951274,78,0.57602551,35,0.63160695,0.856385329,0.99154439,-0.160752335224254,1.08176130414563,1.21004743738147,-0.505735794145633,"UPC"
"7","1006",13.5,0.366085409,69.33,0.797216126,24,1.866810698,41,0.965801985,16,1.567141763,155,-0.132142974,17,-1.354899639,28,0.57602551,26,0.385124145,1.299242643,1.504295684,-2.51769728572597,0.107474469487547,0.120219872784836,0.468551040512453,"UGC"
"10","1010",23.5,3.276085409,117.33,1.358435288,82.67,0.410299723,72,1.421900249,31,0.682542295,214,1.271509916,24,1.232951274,88,1.202557614,44,0.884210536,0.968294389,1.121115504,1.66293182514689,1.18929946792177,1.33033855798403,0.0132581460782316,"EAC"
"11","1011",25.08,2.006085409,116,0.077191927,78.67,0.011751027,75,0.346288694,30,-0.339824306,219,-0.006129261,21,0.591254207,88,1.202557614,41,0.385124145,0.023851836,0.027616253,1.24387796683551,0.231687440584499,0.259163267036294,0.970870173415506,"UGC"
"12","1012",25,0.496085409,136,0.221412828,76,-0.44592234,75,-0.968234398,30,-0.339824306,224,-1.597090709,25,-1.354899639,90,-1.38696219,44,-0.96528561,-0.383142054,-0.44361147,1.81278645091043,-1.26922105447608,-1.41973804997504,-0.117741135523922,"EPC"
"14","1014",21.17,2.626085409,122.67,1.255806183,78.67,1.184803967,71,0.5444753,31,0.682542295,216,1.185291298,25,0.013034742,91,0.57602551,43,0.884210536,0.916906936,1.061617824,1.74730884163714,1.06743944296806,1.19402714588988,-0.49141393296806,"UPC"
"15","1016",21.33,-2.483914591,138.67,0.293253202,78.67,-0.371433657,74,-0.681836275,31,0.304076256,214,0.473411677,27,0.294292934,83,-1.043557637,42,0.14476127,-0.113985119,-0.131974826,1.0341125449773,0.233476590307534,0.261164592124544,-1.27703422730753,"UPC"
